det_features,image,title,price(PKR),det_title,brand
"Brand Warranty,6.2 inches (~84.0% screen-to-body ratio),1440 x 2960 pixels QHD+ (~529 ppi pixel density),Qualcomm MSM8998 Snapdragon 835,12 MP, f/1.7, 26mm, phase detection autofocus, OIS, LED flash,Iris scanner, Fingerprint (Rear-Mounted)",https://static.daraz.pk/ICxB0xMfnjghvShwayisdghblvw=/fit-in/220x220/filters:fill(white)/product/85/98266/1.jpg?5236,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold",86899,"Samsung S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold",Samsung 
"Brand Warranty,5.8 inches (~83.6% screen-to-body ratio),1440 x 2960 pixels QHD+ (~570 ppi pixel density),Qualcomm MSM8998 Snapdragon 835,12 MP, f/1.7, 26mm, phase detection autofocus, OIS, LED flash,Iris scanner, Fingerprint (Rear-Mounted)",https://static.daraz.pk/-YC1S7poE3fWm7ls71tKYhUx90o=/fit-in/220x220/filters:fill(white)/product/65/98266/1.jpg?5290,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold",77299,"Samsung S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold",Samsung 
,https://static.daraz.pk/oIPbJbpg1TfjTN85WFI_dnzbJpo=/fit-in/220x220/filters:fill(white)/product/91/06366/1.jpg?4101,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black",77299,"Samsung S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black",Samsung 
"4G LTE,5.0 inches (~69.4% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),13 MP, f/1.9, 28mm, autofocus, LED flash,Quad-core 1.4 GHz Cortex-A53",https://static.daraz.pk/KPv_Szy0tGaEKolNd8xAd_5rz5g=/fit-in/220x220/filters:fill(white)/product/80/18046/1.jpg?5224,"J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Gold - 4G LTE",24310,"Samsung J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Gold - 4G LTE",Samsung 
"4G LTE,5.5 inches (~73.3% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Octa-core 1.6 GHz Cortex-A53,Camera: 13 MP, f/1.9, 28mm, autofocus, LED flash",https://static.daraz.pk/q9yedGMpU9NUaKyqfyldmFo-F3M=/fit-in/220x220/filters:fill(white)/product/99/08046/1.jpg?6917,"J7 Prime - 5.5"" - 16GB ROM - 3GB RAM - 13MP - Black - 4G LTE",27990,"Samsung J7 Prime - 5.5"" - 16GB ROM - 3GB RAM - 13MP - Black - 4G LTE",Samsung 
,https://static.daraz.pk/si2IPnl1SLpB3uQJAkNflCI4foA=/fit-in/220x220/filters:fill(white)/product/85/46566/1.jpg?5233,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey",77299,"Samsung S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey",Samsung 
"1 Year Brand Warranty,Screen Size & Type: 5.2 inches Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Storage: 16 GB, microSD, up to 128 GB,Processor + RAM: 1.2 GHz Qualcomm MSM8916 Quad Core Processor; 2GB RAM,Camera (Back + Front): 13 MP Primary Camera ; 5 MP Secondary Camera,Operating System: Android v6 (Marshmallow) OS",https://static.daraz.pk/N4swLPkWX7N9elfvDwogDms270Y=/fit-in/220x220/filters:fill(white)/product/43/59456/1.jpg?5151,"Galaxy J5 - J510F - 5.2"" - 16GB ROM - 2GB RAM - 1.2 GHz Qualcomm - Black",20999,"Samsung Galaxy J5 - J510F - 5.2"" - 16GB ROM - 2GB RAM - 1.2 GHz Qualcomm - Black",Samsung 
"Brand Warranty,Processor Quad Core 1.4 GHz ,Ram 2 GB ,HDD 16 GB ,Display 5.0"",Battery 2400 mAh",https://static.daraz.pk/8il2lmbO6NC51QmXnmlc8KSNVf4=/fit-in/220x220/filters:fill(white)/product/92/38376/1.jpg?8930,"Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Black",23999,"Samsung Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Black",Samsung 
"Adapter for Samsung 2 amp Fast Charging,Ultra Fast Charging,Color: White,Good Quality ,Universal Android ,Unrivaled Durability",https://static.daraz.pk/032GL1K1MRbd4lzu_0Ci3MjO5pI=/fit-in/220x220/filters:fill(white)/product/84/08866/1.jpg?4248,2Pin Fast Charger With Cable For Samsung - White,978,Samsung 2Pin Fast Charger With Cable For Samsung - White,Samsung 
"For All Samsung Phones,Fast charging technology ,Charges 0 to 60% in about 40 minutes,Charge other Micro USB devices at up to a 2A speed,Sync and transfer files via micro USB data cable  ",https://static.daraz.pk/ysgUTNvMq4AiD2Xe082ZAHfmgRM=/fit-in/220x220/filters:fill(white)/product/34/61866/1.jpg?2954,Fast Charger With USB Cable Travel Adapter for Samsung - White,1040,Samsung Fast Charger With USB Cable Travel Adapter for Samsung - White,Samsung 
"Brand Warranty,Memory: 32 GB, 3 GB RAM,Processor: Octa-core 1.9 GHz Cortex-A53,OS: Android OS, v6.0.1 (Marshmallow),Screen: 5.7 inches (~73.6% screen-to-body ratio),Camera: 16 MP, f/1.9, 27mm, autofocus, LED flash",https://static.daraz.pk/BbjtXsCTOrKFL62DyEbUaik89GA=/fit-in/220x220/filters:fill(white)/product/83/99666/1.jpg?5230,"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Gold - With Neon Flip Cover",46299,"Samsung Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Gold - With Neon Flip Cover",Samsung 
"Brand Warranty,Memory: 16 GB, 3 GB RAM,Processor: Octa-core 1.6 GHz Cortex-A53,Screen: 5.5 inches (~73.3% screen-to-body ratio),Camera: 13 MP, f/1.9, 28mm, autofocus, LED flash",https://static.daraz.pk/0xF0wlIZyuH_3Dk8tn-YZnA4c_c=/fit-in/220x220/filters:fill(white)/product/34/06446/1.jpg?5132,"J7 Prime - 5.5"" - 16GB  - 3GB RAM - 13MP - Gold",27399,"Samsung J7 Prime - 5.5"" - 16GB  - 3GB RAM - 13MP - Gold",Samsung 
"Light weight and comfortable ,Enrich your listening with high-quality sound ,100% Genuine and Original ,Bulk Pack Samsung product ,Same earphones as supplied ,Also includes spare earbuds",https://static.daraz.pk/cBYJ5bL8aCJtkcygkBQNLSPQ9hE=/fit-in/220x220/filters:fill(white)/product/02/10866/1.jpg?7459,Earphone For Galaxy S6 & S6 Edge - White,990,Samsung Earphone For Galaxy S6 & S6 Edge - White,Samsung 
"Brand Warranty,Screen: 4.0 inches (~59.4% screen-to-body ratio),Memory: 8 GB, 1 GB RAM,Processor: Quad-core 1.5 GHz - J106F/DS, 1.2 GHz - J106B/DS, J106H/DS,OS: Android OS, v6.0 (Marshmallow),Camera: 5 MP, f/2.2, LED flash",https://static.daraz.pk/Dp8Z9lvOGWPCigOBVt34SRmZ6us=/fit-in/220x220/filters:fill(white)/product/49/26666/1.jpg?5160,"Galaxy J1 Mini Prime - 4"" - 8GB - 1GB RAM - 5MP - Gold",9199,"Samsung Galaxy J1 Mini Prime - 4"" - 8GB - 1GB RAM - 5MP - Gold",Samsung 
"Brand Warranty,Processor Quad Core 1.4 GHz ,Ram 2 GB ,HDD 16 GB ,Display 5.0"",Battery 2400 mAh",https://static.daraz.pk/VHF2YQFSOxPrPJUP-L8H_BTaIig=/fit-in/220x220/filters:fill(white)/product/73/06446/1.jpg?5207,"Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Gold",23399,"Samsung Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Gold",Samsung 
"Brand Warranty,Protection	Corning Gorilla Glass 4,Size	5.5 inches (~76.1% screen-to-body ratio), 440 x 2560 pixels (~534 ppi pixel density), Super AMOLED capacitive touchscreen, 16M colors,Memory: 128GB, 4 GB RAM,OS:	Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat),CPU: Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo) - G9350",https://static.daraz.pk/BzbBEMeX5XC-xN0hD7Qw7xaj04k=/fit-in/220x220/filters:fill(white)/product/66/26666/1.jpg?5183,"S7 Edge - 5.5"" - 4GB RAM - 128GB - 4G LTE - Black - With Gear VR",72899,"Samsung S7 Edge - 5.5"" - 4GB RAM - 128GB - 4G LTE - Black - With Gear VR",Samsung 
"Brand Warranty,Screen Size & Type: 5.7 inches, Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Support: 32 GB, No Card slot,Processor + RAM: Quad-core 1.5 GHz Cortex-A53 & Quad-core 2.1 GHz Cortex-A57, 4 GB RAM,Camera (Back + Front): 16 MP, 5312 x 2988 pixels, optical image stabilization, autofocus, LED flash, Front - 5 MP,Operating System: Android OS, v5.1.1 (Lollipop)",https://static.daraz.pk/9mgdTVB_bNrSDdL3kw6_VnTOEZI=/fit-in/220x220/filters:fill(white)/product/47/26666/1.jpg?5159,"Galaxy Note 5 - 5.7"" - 32GB - 4GB RAM - 16MP - Black - 4G LTE - With 5100 mAh Battery Pack",57299,"Samsung Galaxy Note 5 - 5.7"" - 32GB - 4GB RAM - 16MP - Black - 4G LTE - With 5100 mAh Battery Pack",Samsung 
