title,brand,det_features,price_PKR,det_title,image
"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey",Samsung ,"Brand Warranty,6.2 inches (~84.0% screen-to-body ratio),1440 x 2960 pixels QHD+ (~529 ppi pixel density),Qualcomm MSM8998 Snapdragon 835,12 MP, f/1.7, 26mm, phase detection autofocus, OIS, LED flash",96999,"Samsung S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey",https://static.daraz.pk/drfsF0vYTMBonfOax4Gqqtf5s0U=/fit-in/220x220/filters:fill(white)/product/09/31566/1.jpg?4547
"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold",Samsung ,"Brand Warranty,5.8 inches (~83.6% screen-to-body ratio),1440 x 2960 pixels QHD+ (~570 ppi pixel density),Qualcomm MSM8998 Snapdragon 835,12 MP, f/1.7, 26mm, phase detection autofocus, OIS, LED flash,Iris scanner, Fingerprint (Rear-Mounted)",77299,"Samsung S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold",https://static.daraz.pk/-YC1S7poE3fWm7ls71tKYhUx90o=/fit-in/220x220/filters:fill(white)/product/65/98266/1.jpg?5290
"Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Gold",Samsung ,"Brand Warranty,Processor Quad Core 1.4 GHz ,Ram 2 GB ,HDD 16 GB ,Display 5.0"",Battery 2400 mAh",23399,"Samsung Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Gold",https://static.daraz.pk/VHF2YQFSOxPrPJUP-L8H_BTaIig=/fit-in/220x220/filters:fill(white)/product/73/06446/1.jpg?5207
"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black",Samsung ,,86899,"Samsung S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black",https://static.daraz.pk/qkoYv9Wgtx7wA2qdjGR60_vUBd4=/fit-in/220x220/filters:fill(white)/product/50/99066/1.jpg?5168
"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey",Samsung ,,77299,"Samsung S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey",https://static.daraz.pk/si2IPnl1SLpB3uQJAkNflCI4foA=/fit-in/220x220/filters:fill(white)/product/85/46566/1.jpg?5233
"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black",Samsung ,,77299,"Samsung S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black",https://static.daraz.pk/oIPbJbpg1TfjTN85WFI_dnzbJpo=/fit-in/220x220/filters:fill(white)/product/91/06366/1.jpg?4101
"J7 Prime - 5.5"" - 16GB ROM - 3GB RAM - 13MP - Black - 4G LTE",Samsung ,"4G LTE,5.5 inches (~73.3% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Octa-core 1.6 GHz Cortex-A53,Camera: 13 MP, f/1.9, 28mm, autofocus, LED flash",27990,"Samsung J7 Prime - 5.5"" - 16GB ROM - 3GB RAM - 13MP - Black - 4G LTE",https://static.daraz.pk/q9yedGMpU9NUaKyqfyldmFo-F3M=/fit-in/220x220/filters:fill(white)/product/99/08046/1.jpg?6917
"J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Gold - 4G LTE",Samsung ,"4G LTE,5.0 inches (~69.4% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),13 MP, f/1.9, 28mm, autofocus, LED flash,Quad-core 1.4 GHz Cortex-A53",24310,"Samsung J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Gold - 4G LTE",https://static.daraz.pk/KPv_Szy0tGaEKolNd8xAd_5rz5g=/fit-in/220x220/filters:fill(white)/product/80/18046/1.jpg?5224
"S5611 - 2.4"" - 256 MB HDD - 5 MP Camera - White (Brand Warranty)",Samsung ,"Screen Size & Type:  2.4” TFT, 256K colors,Storage + Memory Card Support: 256 MB Storage, microSD, up to 16 GB,Camera (Front + Back): 
5 Megapixels Camera, Autofocus, LED Flash,Processor + RAM:  460 MHz CPU,Battery: Li-Ion 1000 mAh battery",8307,"Samsung S5611 - 2.4"" - 256 MB HDD - 5 MP Camera - White (Brand Warranty)",https://static.daraz.pk/fSq_gkli2rf5r1dUp4OII1fkP10=/fit-in/220x220/filters:fill(white)/product/70/13245/1.jpg?0129
"Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Black",Samsung ,"Brand Warranty,Processor Quad Core 1.4 GHz ,Ram 2 GB ,HDD 16 GB ,Display 5.0"",Battery 2400 mAh",23999,"Samsung Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Black",https://static.daraz.pk/8il2lmbO6NC51QmXnmlc8KSNVf4=/fit-in/220x220/filters:fill(white)/product/92/38376/1.jpg?8930
"Galaxy J5 - J510F - 5.2"" - 16GB ROM - 2GB RAM - 1.2 GHz Qualcomm - Black",Samsung ,"1 Year Brand Warranty,Screen Size & Type: 5.2 inches Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Storage: 16 GB, microSD, up to 128 GB,Processor + RAM: 1.2 GHz Qualcomm MSM8916 Quad Core Processor; 2GB RAM,Camera (Back + Front): 13 MP Primary Camera ; 5 MP Secondary Camera,Operating System: Android v6 (Marshmallow) OS",20999,"Samsung Galaxy J5 - J510F - 5.2"" - 16GB ROM - 2GB RAM - 1.2 GHz Qualcomm - Black",https://static.daraz.pk/N4swLPkWX7N9elfvDwogDms270Y=/fit-in/220x220/filters:fill(white)/product/43/59456/1.jpg?5151
2Pin Fast Charger With Cable For Samsung - White,Samsung ,"Adapter for Samsung 2 amp Fast Charging,Ultra Fast Charging,Color: White,Good Quality ,Universal Android ,Unrivaled Durability",978,Samsung 2Pin Fast Charger With Cable For Samsung - White,https://static.daraz.pk/032GL1K1MRbd4lzu_0Ci3MjO5pI=/fit-in/220x220/filters:fill(white)/product/84/08866/1.jpg?4248
Fast Charger With USB Cable Travel Adapter for Samsung - White,Samsung ,"For All Samsung Phones,Fast charging technology ,Charges 0 to 60% in about 40 minutes,Charge other Micro USB devices at up to a 2A speed,Sync and transfer files via micro USB data cable  ",1040,Samsung Fast Charger With USB Cable Travel Adapter for Samsung - White,https://static.daraz.pk/ysgUTNvMq4AiD2Xe082ZAHfmgRM=/fit-in/220x220/filters:fill(white)/product/34/61866/1.jpg?2954
"J7 Prime - 5.5"" - 16GB  - 3GB RAM - 13MP - Gold",Samsung ,"Brand Warranty,Memory: 16 GB, 3 GB RAM,Processor: Octa-core 1.6 GHz Cortex-A53,Screen: 5.5 inches (~73.3% screen-to-body ratio),Camera: 13 MP, f/1.9, 28mm, autofocus, LED flash",27399,"Samsung J7 Prime - 5.5"" - 16GB  - 3GB RAM - 13MP - Gold",https://static.daraz.pk/0xF0wlIZyuH_3Dk8tn-YZnA4c_c=/fit-in/220x220/filters:fill(white)/product/34/06446/1.jpg?5132
Earphone For Galaxy S6 & S6 Edge - White,Samsung ,"Light weight and comfortable ,Enrich your listening with high-quality sound ,100% Genuine and Original ,Bulk Pack Samsung product ,Same earphones as supplied ,Also includes spare earbuds",990,Samsung Earphone For Galaxy S6 & S6 Edge - White,https://static.daraz.pk/cBYJ5bL8aCJtkcygkBQNLSPQ9hE=/fit-in/220x220/filters:fill(white)/product/02/10866/1.jpg?7459
