image,price(PKR),brand,title
https://static.daraz.pk/nqvvkOCkwdZE7gsQKNvyrMuHoW8=/fit-in/220x220/filters:fill(white)/product/90/13245/1.jpg?0136,16500,Samsung ,"SM-G530H - Grand Prime - 5.0"" - 8 GB - 1 GB RAM - 1.2 GHz Quad-core - 8 MP Camera - Gold (Brand Warranty)"
https://static.daraz.pk/fSq_gkli2rf5r1dUp4OII1fkP10=/fit-in/220x220/filters:fill(white)/product/70/13245/1.jpg?0129,8307,Samsung ,"S5611 - 2.4"" - 256 MB HDD - 5 MP Camera - White (Brand Warranty)"
https://static.daraz.pk/jhW6VLWXmxJEfUm3yhX5-lzvNCw=/fit-in/220x220/filters:fill(white)/product/82/31735/1.jpg?2410,45000,Samsung ,Galaxy S5 - 16GB - Black - G900H
https://static.daraz.pk/CDopANYm5u18MeWkr0RHHi_b38c=/fit-in/220x220/filters:fill(white)/product/03/68036/1.jpg?8362,20999,Samsung ,Galaxy J700H - 16GB - Gold - 4G LTE
https://static.daraz.pk/-uPgUtW_AhbUi_Xb-4mUQy6vXeQ=/fit-in/220x220/filters:fill(white)/product/66/37516/1.jpg?1161,20999,Samsung ,Galaxy J700H - 16GB - Black
https://static.daraz.pk/dkteQEcFKt7Rf3ofaD-sRjbQsrc=/fit-in/220x220/filters:fill(white)/product/01/71156/1.jpg?5693,8999,Samsung ,VIP Traders Official Gear Vr - Black
https://static.daraz.pk/_DWrKq3kZ_ubnb8Jpe7BrPX0wAU=/fit-in/220x220/filters:fill(white)/product/43/67356/1.jpg?6527,10999,Samsung ,Galaxy J1 Ace - J110H - 4GB - Black
https://static.daraz.pk/E3MtBWn8cv0HKs1xUhOegtHY3_0=/fit-in/220x220/filters:fill(white)/product/83/78166/1.jpg?8999,5000,Samsung ,Galaxy S8 Clear View Standing Cover - Gold
https://static.daraz.pk/m7eoAF4HmePVnld1A8LIKS4-qoY=/fit-in/220x220/filters:fill(white)/product/04/13245/1.jpg?2166,20488,Samsung ,Galaxy S4 Zoom C1010 - 8GB - Black
https://static.daraz.pk/carebTvf0sDkvnOVxC_VwY4ItyU=/fit-in/220x220/filters:fill(white)/product/40/13245/1.jpg?2611,13844,Samsung ,Galaxy Core Prime - G360H - 4.5 Inches - 8GB - 1GB Ram - Quad-core 1.2 GHz - White
https://static.daraz.pk/5bOfSBllWzbTXEjBicMJg-AWmsA=/fit-in/220x220/filters:fill(white)/product/56/5321/1.jpg?9730,23999,Samsung ,"I9300I - Galaxy S3 Neo - 4.8"" - 16 GB - 1.5 GB RAM - 1.2 Ghz Quad-core - 8 MP - White (Brand Warranty)"
https://static.daraz.pk/qHRwyw4qdu0AMwr60GRSbvnoOIY=/fit-in/220x220/filters:fill(white)/product/71/15336/1.jpg?5200,24899,Samsung ,Galaxy J7 J710F - 16GB - Golden - 4G LTE
https://static.daraz.pk/Yow43r9VOq8y419JGL-cuRpTZwg=/fit-in/220x220/filters:fill(white)/product/99/92836/1.jpg?7081,20999,Samsung ,Galaxy J5 - J510F - 16GB ROM - 2GB RAM - 13MP Camera - White - 4G LTE
https://static.daraz.pk/v_B8nUWYgOCRjltSWFIBvZYVbFc=/fit-in/220x220/filters:fill(white)/product/25/31195/1.jpg?9209,17999,Samsung ,Galaxy E5 E500H -16GB - White
https://static.daraz.pk/k7iiZAJWG9WWWWdL8dEAvKjSpzM=/fit-in/220x220/filters:fill(white)/product/02/00136/1.jpg?5078,28600,Samsung ,J700F Galaxy J7 - 16 GB - Golden
https://static.daraz.pk/O3xNJd0IBEKd5FwP6V2Ic0yCv6Q=/fit-in/220x220/filters:fill(white)/product/22/15336/1.jpg?5111,24899,Samsung ,Galaxy J710F - 16GB - 4G LTE - Black
https://static.daraz.pk/b6yB43AoWfUrGP9xW0QyqSots_g=/fit-in/220x220/filters:fill(white)/product/71/89146/1.jpg?5202,22999,Samsung ,Galaxy J5 Prime - 16 GB - Gold
https://static.daraz.pk/bA4SoRj2Q41w-Y0gsrviqyQbacw=/fit-in/220x220/filters:fill(white)/product/52/15336/1.jpg?5170,20999,Samsung ,Galaxy J5 - J510F - 16GB ROM - 2GB RAM - 13MP Camera - Android - Gold - 4G LTE
https://static.daraz.pk/B-K6drffAA7r-xNYClNCaH_IzoU=/fit-in/220x220/filters:fill(white)/product/72/35556/1.jpg?5205,26999,Samsung ,Galaxy J7 Prime - 16GB - Black
https://static.daraz.pk/lWFFtioR5PpVa3c8MJgsQgDFKZY=/fit-in/220x220/filters:fill(white)/product/36/89146/1.jpg?5139,26999,Samsung ,Galaxy J7 Prime - 16GB - Golden
https://static.daraz.pk/S3SFAWqurvXSWq-FtwVY2qBKCZE=/fit-in/220x220/filters:fill(white)/product/85/91056/1.jpg?5235,9569,Samsung ,Galaxy J1 Mini Prime - 8GB - White
https://static.daraz.pk/IN2JEhF6CrWot0yYzAC1S5ce3GI=/fit-in/220x220/filters:fill(white)/product/68/26666/1.jpg?5186,13999,Samsung ,"Galaxy J2 - 4.7"" - 8GB - 1GB RAM - 5MP - Gold"
https://static.daraz.pk/6MUCghrokD5Lm_ZhAzPOQ6G_940=/fit-in/220x220/filters:fill(white)/product/55/61666/1.jpg?2621,1009,Samsung ,"Fast Charger With USB Cable Travel Adapter for S8, S8 Plus - White"
https://static.daraz.pk/TtxFvmqzO0gE6KF2ULOQVo0ozXQ=/fit-in/220x220/filters:fill(white)/product/91/18836/1.jpg?5248,20999,Samsung ,"Galaxy J700H - 5.5"" - 16GB - 1.5GB RAM - 13MP - White"
https://static.daraz.pk/Ucp4iLc7U2zTey2KvfiftwFCjOE=/fit-in/220x220/filters:fill(white)/product/67/22806/1.jpg?5185,16500,Samsung ,"Galaxy J2 - 4.7"" - 8GB - 1GB RAM - 5 MP - White"
https://static.daraz.pk/FjX9fJUjmNa5zzr7R0IvUqhUKZU=/fit-in/220x220/filters:fill(white)/product/59/90136/1.jpg?0200,65000,Samsung ,"Galaxy S7 Edge - 5.5"" - 32GB - 4GB RAM - 12MP - Gold Platinum - 4G LTE"
https://static.daraz.pk/N9481dAoaIewmGAMb8rneSgEIkQ=/fit-in/220x220/filters:fill(white)/product/25/13245/1.jpg?6340,16500,Samsung ,"SM-G530H - Grand Prime - 5.0"" - 8GB - 1 GB RAM - 8 MP - 3G - White"
https://static.daraz.pk/jY7QNglITF96D8eFG8UEnVYGBV0=/fit-in/220x220/filters:fill(white)/product/30/04276/1.jpg?5120,22999,Samsung ,"Galaxy J5 Prime - 5.0"" - 2 GB - 16 GB - 13 MP - Gold"
https://static.daraz.pk/eHnoHhvF9_Fu9iQdCKTC3P0xsJc=/fit-in/220x220/filters:fill(white)/product/80/85466/1.jpg?4052,14295,Samsung ,"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Black"
https://static.daraz.pk/D3WZ9znq3eKpnoM_vaVJjNdgIOI=/fit-in/220x220/filters:fill(white)/product/83/27176/1.jpg?5229,13999,Samsung ,"Galaxy J1 J120F - 4.5"" - 8GB - 1GB RAM - 5MP Camera - White"
https://static.daraz.pk/VScyaqgB6TaQP3LXr0J11yLICE8=/fit-in/220x220/filters:fill(white)/product/51/86946/1.jpg?0117,36499,Samsung ,"Galaxy A5 - 5.2"" - 3GB - 32GB - 16MP - Black"
https://static.daraz.pk/0JBOph23i8yW3xC7mzKQ77KIeFw=/fit-in/220x220/filters:fill(white)/product/11/86946/1.jpg?5094,36499,Samsung ,"Galaxy A5 - 5.2"" - 3GB - 32GB - 16MP - Gold"
https://static.daraz.pk/Ye9bpWwZvy6omMtozXoo3c3DKMI=/fit-in/220x220/filters:fill(white)/product/01/86946/1.jpg?9997,36499,Samsung ,"Galaxy A5 - 5.2"" - 3GB - 32GB - 16MP - Blue"
https://static.daraz.pk/LJH4-7ocKqs92MR_ZldKQhN_kk8=/fit-in/220x220/filters:fill(white)/product/60/86946/1.jpg?5177,45999,Samsung ,"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Gold"
https://static.daraz.pk/E3XHX9MRr0472xhuftePsowzvfQ=/fit-in/220x220/filters:fill(white)/product/50/86946/1.jpg?5167,45999,Samsung ,"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Blue"
https://static.daraz.pk/eU26mP7ykAi7DlDHA9oespLDjtI=/fit-in/220x220/filters:fill(white)/product/64/41666/1.jpg?9947,5500,Samsung ,Gold - Battery Pack (5.2 A) - Eb-Pn920Ufeg
https://static.daraz.pk/B_JmRXw6SnUghIi11RrSvfXdKgs=/fit-in/220x220/filters:fill(white)/product/53/59456/1.jpg?5173,45999,Samsung ,"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Black"
