[u'https://www.daraz.pk/jns-electronics/?q=samsung', u'JNS Electronics']
[u'https://www.daraz.pk/bluedio/?q=samsung', u'BLUEDIO']
[u'https://www.daraz.pk/ezyshop/?q=samsung', u'EzyShop']
[u'https://www.daraz.pk/bismillah-traders/?q=samsung', u'Bismillah Traders']
[u'https://www.daraz.pk/tech-zone-/?q=samsung', u'Tech Zone']
[u'https://www.daraz.pk/computer-hardware-shop/?q=samsung', u'Computer Hardware Shop']
[u'https://www.daraz.pk/innovative-technology/?q=samsung', u'Innovative Technology']
[u'https://www.daraz.pk/mobiwrap/?q=samsung', u'Mobiwrap']
[u'https://www.daraz.pk/gs-wholeseller/?q=samsung', u'GS Wholeseller']
[u'https://www.daraz.pk/easyshoppakistan/?q=samsung', u'EasyShopPakistan']
[u'https://www.daraz.pk/ronin/?q=samsung', u'Ronin']
[u'https://www.daraz.pk/belkin/?q=samsung', u'BELKIN']
[u'https://www.daraz.pk/fast-mobile-accessories/?q=samsung', u'Fast Mobile Accessories']
[u'https://www.daraz.pk/jbl/?q=samsung', u'JBL']
[u'https://www.daraz.pk/igeek/?q=samsung', u'iGeek']
[u'https://www.daraz.pk/yunteng/?q=samsung', u'Yunteng']
[u'https://www.daraz.pk/5-dollar-shop/?q=samsung', u'5 Dollar Shop']
[u'https://www.daraz.pk/verbatim/?q=samsung', u'Verbatim ']
[u'https://www.daraz.pk/a4tech/?q=samsung', u'A4TECH']
[u'https://www.daraz.pk/cube-case/?q=samsung', u'Cube Case']
[u'https://www.daraz.pk/flair/?q=samsung', u'Flair']
[u'https://www.daraz.pk/computer-tech/?q=samsung', u'Computer Tech']
[u'https://www.daraz.pk/muzz-sons/?q=samsung', u'muzz & sons']
[u'https://www.daraz.pk/nokia/?q=samsung', u'Nokia']
[u'https://www.daraz.pk/gj/?q=samsung', u'GJ']
[u'https://www.daraz.pk/wst/?q=samsung', u'WST']
[u'https://www.daraz.pk/vidvie/?q=samsung', u'Vidvie']
[u'https://www.daraz.pk/pakexpress/?q=samsung', u'Pakexpress']
[u'https://www.daraz.pk/seasonalincorporation/?q=samsung', u'SeasonalIncorporation']
[u'https://www.daraz.pk/astrum/?q=samsung', u'Astrum']
[u'https://www.daraz.pk/shinecon/?q=samsung', u'Shinecon']
[u'https://www.daraz.pk/rangrez/?q=samsung', u'Rangrez']
[u'https://www.daraz.pk/popsockets/?q=samsung', u'PopSockets']
[u'https://www.daraz.pk/rock/?q=samsung', u'Rock']
[u'https://www.daraz.pk/xenium/?q=samsung', u'Xenium']
[u'https://www.daraz.pk/wonderz/?q=samsung', u'WonderZ']
[u'https://www.daraz.pk/computer-shop/?q=samsung', u'Computer Shop']
[u'https://www.daraz.pk/united-accessories/?q=samsung', u'United Accessories']
[u'https://www.daraz.pk/link-pro/?q=samsung', u'LINK PRO']
[u'https://www.daraz.pk/jabees/?q=samsung', u'Jabees']
[u'https://www.daraz.pk/laptab/?q=samsung', u'LapTab']
[u'https://www.daraz.pk/loud/?q=samsung', u'Loud']
[u'https://www.daraz.pk/nature-s-bounty-usa/?q=samsung', u"Nature's Bounty USA"]
[u'https://www.daraz.pk/hotline/?q=samsung', u'Hotline']
[u'https://www.daraz.pk/i-craze/?q=samsung', u'I Craze']
[u'https://www.daraz.pk/competitive/?q=samsung', u'Competitive']
[u'https://www.daraz.pk/zoom-networks/?q=samsung', u'Zoom Networks']
[u'https://www.daraz.pk/ahm/?q=samsung', u'AHM']
[u'https://www.daraz.pk/al-arbish/?q=samsung', u'Al Arbish']
[u'https://www.daraz.pk/kingston/?q=samsung', u'Kingston']
[u'https://www.daraz.pk/alcatel/?q=samsung', u'Alcatel']
[u'https://www.daraz.pk/dhoom/?q=samsung', u'Dhoom']
[u'https://www.daraz.pk/ipaky/?q=samsung', u'IPAKY']
[u'https://www.daraz.pk/h-co/?q=samsung', u'H &Co']
[u'https://www.daraz.pk/mophie/?q=samsung', u'Mophie']
[u'https://www.daraz.pk/cellbliss/?q=samsung', u'CellBliss']
[u'https://www.daraz.pk/e2b/?q=samsung', u'e2b']
[u'https://www.daraz.pk/panasonic/?q=samsung', u'Panasonic']
[u'https://www.daraz.pk/ldnio/?q=samsung', u'LDNIO ']
[u'https://www.daraz.pk/mtc/?q=samsung', u'MTC']
[u'https://www.daraz.pk/seven-star/?q=samsung', u'Seven Star']
[u'https://www.daraz.pk/discount/?q=samsung', u'Discount']
[u'https://www.daraz.pk/3b-international/?q=samsung', u'3B International']
[u'https://www.daraz.pk/tucano/?q=samsung', u'Tucano']
[u'https://www.daraz.pk/y-ali/?q=samsung', u'Y.Ali']
[u'https://www.daraz.pk/online-souk/?q=samsung', u'Online Souk']
[u'https://www.daraz.pk/pisen/?q=samsung', u'PISEN']
[u'https://www.daraz.pk/rabia-s-store/?q=samsung', u"Rabia's Store"]
[u'https://www.daraz.pk/htc/?q=samsung', u'HTC']
[u'https://www.daraz.pk/attaris-communication/?q=samsung', u'Attaris Communication']
[u'https://www.daraz.pk/ali-s-enterprise/?q=samsung', u"Ali's Enterprise"]
[u'https://www.daraz.pk/g-case/?q=samsung', u'G-Case']
[u'https://www.daraz.pk/basit-deals/?q=samsung', u'Basit Deals']
[u'https://www.daraz.pk/plugin/?q=samsung', u'Plugin']
[u'https://www.daraz.pk/lishion/?q=samsung', u'Lishion']
[u'https://www.daraz.pk/technoworld/?q=samsung', u'TechnoWorld']
[u'https://www.daraz.pk/milano-mall/?q=samsung', u'Milano Mall']
[u'https://www.daraz.pk/mi/?q=samsung', u'Mi']
[u'https://www.daraz.pk/nia/?q=samsung', u'NIA']
[u'https://www.daraz.pk/energizer/?q=samsung', u'Energizer']
[u'https://www.daraz.pk/samar/?q=samsung', u'Samar']
[u'https://www.daraz.pk/edifier/?q=samsung', u'Edifier']
[u'https://www.daraz.pk/the-vitamin-company/?q=samsung', u'The Vitamin Company']
[u'https://www.daraz.pk/fineblue/?q=samsung', u'Fineblue']
[u'https://www.daraz.pk/forever-living/?q=samsung', u'Forever Living']
[u'https://www.daraz.pk/onlineshoppingstore/?q=samsung', u'OnlineShoppingStore']
[u'https://www.daraz.pk/it-care/?q=samsung', u'IT.Care']
[u'https://www.daraz.pk/lunar/?q=samsung', u'Lunar']
[u'https://www.daraz.pk/konfulon/?q=samsung', u'Konfulon']
[u'https://www.daraz.pk/smp/?q=samsung', u'SMP']
[u'https://www.daraz.pk/griffin/?q=samsung', u'GRIFFIN']
[u'https://www.daraz.pk/elephone/?q=samsung', u'Elephone']
[u'https://www.daraz.pk/hawks-eye/?q=samsung', u'Hawks Eye']
[u'https://www.daraz.pk/asa/?q=samsung', u'ASA']
[u'https://www.daraz.pk/online-mania/?q=samsung', u'Online Mania']
[u'https://www.daraz.pk/e4easy/?q=samsung', u'E4easy']
[u'https://www.daraz.pk/mageek/?q=samsung', u'MaGeek']
[u'https://www.daraz.pk/awei/?q=samsung', u'Awei']
[u'https://www.daraz.pk/microsoft/?q=samsung', u'Microsoft']
[u'https://www.daraz.pk/nite-ize/?q=samsung', u'Nite Ize']
[u'https://www.daraz.pk/meizu/?q=samsung', u'MEIZU']
[u'https://www.daraz.pk/hashtag/?q=samsung', u'HashTag']
[u'https://www.daraz.pk/ugreen/?q=samsung', u'UGREEN']
[u'https://www.daraz.pk/haroonia-traders/?q=samsung', u'Haroonia Traders']
[u'https://www.daraz.pk/zamantech/?q=samsung', u'Zamantech']
[u'https://www.daraz.pk/hedge-over/?q=samsung', u'Hedge Over']
[u'https://www.daraz.pk/shal/?q=samsung', u'Shal']
[u'https://www.daraz.pk/united-mobile/?q=samsung', u'United Mobile']
[u'https://www.daraz.pk/yoobao/?q=samsung', u'Yoobao']
[u'https://www.daraz.pk/unique-gadgets/?q=samsung', u'Unique gadgets']
[u'https://www.daraz.pk/alphatronix/?q=samsung', u'AlphaTronix']
[u'https://www.daraz.pk/nvc/?q=samsung', u'NVC']
[u'https://www.daraz.pk/cannice/?q=samsung', u'Cannice']
[u'https://www.daraz.pk/smart-gadgets/?q=samsung', u'SMART GADGETS']
[u'https://www.daraz.pk/vrbox/?q=samsung', u'Vrbox']
[u'https://www.daraz.pk/kings-computers/?q=samsung', u'Kings Computers']
[u'https://www.daraz.pk/hanif-electronics/?q=samsung', u'Hanif Electronics']
[u'https://www.daraz.pk/swissvoice/?q=samsung', u'Swissvoice']
[u'https://www.daraz.pk/ft/?q=samsung', u'FT']
[u'https://www.daraz.pk/ds-accessories/?q=samsung', u'DS Accessories']
[u'https://www.daraz.pk/beat-by-dre/?q=samsung', u'Beat by Dre']
[u'https://www.daraz.pk/sandisk/?q=samsung', u'SanDisk']
[u'https://www.daraz.pk/amazon/?q=samsung', u'Amazon']
[u'https://www.daraz.pk/elegancy/?q=samsung', u'Elegancy']
[u'https://www.daraz.pk/just-mobile/?q=samsung', u'Just Mobile']
[u'https://www.daraz.pk/motomo/?q=samsung', u'Motomo']
[u'https://www.daraz.pk/mr-khan/?q=samsung', u'Mr khan']
[u'https://www.daraz.pk/naveed-electronics/?q=samsung', u'Naveed Electronics']
[u'https://www.daraz.pk/infinixpk/?q=samsung', u'INFINIXPK']
